aeroporto,tipo.de.voo,cia.aerea,possui.deficiencia,facilidade.de.desembarque.no.meio.fio,opcoes.de.transporte.ate.o.aeroporto,processo.de.aquisicao.da.passagem,processo.de.inspecao.de.seguranca,estabelecimentos.de.alimentacao,localizacao.e.deslocamento,conforto.da.sala.de.embarque,disponibilidade.de.tomadas,internet.disponibilizada.pelo.aeroporto,sanitarios,limpeza.geral.do.aeroporto,satisfacao.geral,nacionalidade,genero,idade,escolaridade,renda.familiar,viajando.sozinho,motivo.da.viagem,quantidade.de.viagens.nos.ultimos.12.meses,ja.embarcou.desembarcou.antes.no.aeroporto
SBGL,Internacional,AIR FRANCE,Nenhuma,4,2,4,3,3,5,4,3,4,4,4,4,Brasileira,Feminino,36 a 45 anos,Mestrado,Mais de 20 sm,Não,Lazer,2 a 3,Não
SBGR,Doméstico,LATAM,Nenhuma,4,5,5,5,5,5,3,3,5,5,5,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Não,Lazer,2 a 3,Não
SBFZ,Doméstico,AZUL,Nenhuma,4,1,3,5,2,4,4,3,5,4,5,4,Brasileira,Feminino,18 a 25 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,1 (Primeira viagem),Não
SBBR,Internacional,TAP,Nenhuma,5,5,4,5,5,5,5,5,5,5,5,5,Estrangeira,Feminino,56 a 65 anos,Ensino fundamental,Prefiro não informar,Não,Lazer,2 a 3,Não
SBFL,Doméstico,AZUL,Nenhuma,5,4,4,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,18 a 25 anos,Ensino médio,até 1 salário mínimo,Sim,Lazer,2 a 3,Sim
SBFZ,Doméstico,LATAM,Nenhuma,5,4,5,4,5,5,4,4,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Não
SBGL,Internacional,TAP,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Feminino,56 a 65 anos,Ensino médio,Prefiro não informar,Sim,Lazer,1 (Primeira viagem),Não
SBPA,Doméstico,AZUL,Nenhuma,4,5,2,5,5,5,5,5,5,5,5,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,2 a 3,Sim
SBMO,Doméstico,LATAM,Nenhuma,5,1,5,5,5,5,5,3,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Não,Lazer,4 a 5,Não
SBCT,Doméstico,GOL,Nenhuma,5,5,2,5,4,5,5,5,3,4,5,5,Brasileira,Masculino,46 a 55 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,2 a 3,Sim
